Venue,Venue Size,Venue Type,Venue Page,Artist,Show Title,Show Date,Show Information,Ticket Purchase Page
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Bloc Party,"20 Years of Bloc Party: Silent Alarm & Hits, with Blonde Redhead",6/12/2025,https://theunioneventcenter.com/upcomingevents/blocparty,https://www.ticketmaster.com/20-years-of-bloc-party-silent-salt-lake-city-utah-06-12-2025/event/1E00623ED6CC44DE
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Blondde Redhead,"20 Years of Bloc Party: Silent Alarm & Hits, with Blonde Redhead",6/12/2025,https://theunioneventcenter.com/upcomingevents/blocparty,https://www.ticketmaster.com/20-years-of-bloc-party-silent-salt-lake-city-utah-06-12-2025/event/1E00623ED6CC44DE
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Family Dinner,"20 Years of Bloc Party: Silent Alarm & Hits, with Blonde Redhead",6/12/2025,https://theunioneventcenter.com/upcomingevents/blocparty,https://www.ticketmaster.com/20-years-of-bloc-party-silent-salt-lake-city-utah-06-12-2025/event/1E00623ED6CC44DE
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Dance Gavin Dance,Return of The Robot Tour,6/24/2025,https://theunioneventcenter.com/upcomingevents/dancegavindance,https://www.ticketmaster.com/event/1E006226BB74156F
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,The Home Team,Return of The Robot Tour,6/24/2025,https://theunioneventcenter.com/upcomingevents/dancegavindance,https://www.ticketmaster.com/event/1E006226BB74156F
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Belmont,Return of The Robot Tour,6/24/2025,https://theunioneventcenter.com/upcomingevents/dancegavindance,https://www.ticketmaster.com/event/1E006226BB74156F
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Dwellings,Return of The Robot Tour,6/24/2025,https://theunioneventcenter.com/upcomingevents/dancegavindance,https://www.ticketmaster.com/event/1E006226BB74156F
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Charlotte Sands,Idobi Radio Summer School,7/20/2025,https://theunioneventcenter.com/upcomingevents/summerschool,https://www.ticketmaster.com/event/1E006273B6A7580D
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Taylor Acorn,Idobi Radio Summer School,7/20/2025,https://theunioneventcenter.com/upcomingevents/summerschool,https://www.ticketmaster.com/event/1E006273B6A7580D
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Rain City Drive,Idobi Radio Summer School,7/20/2025,https://theunioneventcenter.com/upcomingevents/summerschool,https://www.ticketmaster.com/event/1E006273B6A7580D
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Arrows in Action,Idobi Radio Summer School,7/20/2025,https://theunioneventcenter.com/upcomingevents/summerschool,https://www.ticketmaster.com/event/1E006273B6A7580D
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,If Not For Me,Idobi Radio Summer School,7/20/2025,https://theunioneventcenter.com/upcomingevents/summerschool,https://www.ticketmaster.com/event/1E006273B6A7580D
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Beauty School Dropout,Idobi Radio Summer School,7/20/2025,https://theunioneventcenter.com/upcomingevents/summerschool,https://www.ticketmaster.com/event/1E006273B6A7580D
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Huddy,Idobi Radio Summer School,7/20/2025,https://theunioneventcenter.com/upcomingevents/summerschool,https://www.ticketmaster.com/event/1E006273B6A7580D
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Jessie Reyez,Paid in Memories Tour,7/24/2025,https://theunioneventcenter.com/upcomingevents/jessiereyez,https://www.ticketmaster.com/event/1E006281B78A36F8
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Raahiim,Paid in Memories Tour,7/24/2025,https://theunioneventcenter.com/upcomingevents/jessiereyez,https://www.ticketmaster.com/event/1E006281B78A36F8
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Oscar Maydon,Rico O Muerto Tour,7/31/2025,https://theunioneventcenter.com/upcomingevents/oscarmaydon,https://www.ticketmaster.com/event/1E00627896603466
The Union Event Center,Medium,Indoors,https://theunioneventcenter.com/,Jake Scott,Jake Scott with Special Guest Marynn Taylor,7/31/2025,https://theunioneventcenter.com/upcomingevents/jakescott25,https://www.ticketmaster.com/event/1E006288D26B39ED
